Collection Name,Collection Summary,Family Name,Family Summary,Family URL,Family Publication Date,Geographies,Document Title,Document URL,Document Content URL,Document Type,Document Content Matches Search Phrase,Category,Languages,Source,Topic,Hazard,Sector,Keyword,Framework,Instrument,Topic,Hazard,Sector,Keyword,Framework,Instrument,Author,Author_Type
,,National Action Plan for Energía and Climate Change,"<p>The objective of this document is to plan the implementation of the measures contained in the National Contribution under the jurisdiction of the MINEM, in order to accompany the development of the country in accordance with the commitments assumed in terms of climate change.</p>
",https://app.climatepolicyradar.org/documents/national-action-plan-for-energy-and-climate-change_eeeb,2017-01-01T00:00:00+00:00,ARG,National Action Plan for Energía and Climate Change,https://app.climatepolicyradar.org/documents/national-action-plan-for-energy-and-climate-change_1daa,https://cdn.climatepolicyradar.org/navigator/ARG/2017/national-action-plan-for-energy-and-climate-change_0eb023a1ba2aecab984c90c53f2a3837.pdf,Action Plan,n/a,Executive,Spanish,CCLW,Adaptation;Mitigation,,Energía,,,"Processes, plans and strategies|Governance",Adaptation;Mitigation,,Energía,,,"Processes, plans and strategies|Governance",,
,,Law 26473 Prohibiting commercialisation of incandescent light bulbs,"Prohibits the importation and commercialisation of incandescent light bulbs for residential<br />
use throughout the country.",https://app.climatepolicyradar.org/documents/law-26473-prohibiting-commercialisation-of-incandescent-light-bulbs_0932,2010-12-31T00:00:00+00:00,ARG,Law 26473 Prohibiting commercialisation of incandescent light bulbs,https://app.climatepolicyradar.org/documents/law-26473-prohibiting-commercialisation-of-incandescent-light-bulbs_c5a3,,Law,n/a,Legislative,,CCLW,Mitigation,,Buildings,Energía Demand,,"Standards, obligations and norms|Regulation",Mitigation,,Buildings,Energía Demand,,"Standards, obligations and norms|Regulation",,
,,Decree 140/2007: Presidential decree declaring rational and efficient energy use a national priority,"This decree has far-reaching and ambitious goals to reduce energy consumption and promote the use of renewable energy in the public sector (including public transport and lighting), private industry and private residencies.<br />
<br />
The decree's main purpose is to announce a National Program for Rational and Efficient Energía Use, to guarantee funding for the program in the federal budget, to name the Energía Secretary as the main authority for implementing the plan and to create a federal commission to oversee and monitor progress.<br />
<br />
This Policy stipulates that 8% of all electric energy consumption must come from renewable sources by 2016.<br />
<br />
The National Programme for Rational and Efficient Energía Use is divided into actions to be realised in the 1) short term and 2) medium and long terms.<br />
<br />
In the short term (30 days from implementation) the commission is to initiate a 'massive' public education campaign about energy efficiency, take necessary measures to manage the replacement of incandescent light bulbs with energy efficient bulbs in all private residences in the country, begin work to rate the energy efficiency of all electric appliances, improve the energy efficiency in all sectors of public administration and promote agreements with energy providers, national universities and business associations to improve energy efficiency in private sectors.<br />
<br />
In the medium to long term, the actions are further subdivided by sectors:<br />
- Industry: formulate a strategy to increase competitiveness by reducing energy costs; work to monitor and improve energy efficiency with those corporations that voluntarily participate in the programme; disseminate and replicate the program; facilitate energy efficiency technology within the private sector; offer financing to small and medium companies who voluntarily invest in energy saving technology<br />
- Commercial and Service Sectors: tailor an energy efficiency programme to the specific circumstances of office buildings, retail shops, hotels, restaurants, commercial banks etc.; develop efficiency standards for the consumption of energy (lighting, heating and air-conditioning, food storage)<br />
- Education: incorporate energy efficiency and renewable energy themes into pre-existing curricula at primary and secondary education levels; develop postgraduate programs focussing on energy efficiency at national universities<br />
- Cogeneration: develop a plan to promote and regulate the cogeneration of electricity and heat with new and existing energy providing companies<br />
- Energía efficiency standards and labelling: designate maximum and minimum standards of energy efficiency for electric appliances and machines produced or commercialised in the country; propose a timeline to ban the production, importation and commercialisation of incandescent light bulbs<br />
- Public lighting: implement system technologies to make public street lighting and traffic lights more energy efficient<br />
- Transport: improve the management and distribution of public transport in regards to energy consumption; with corresponding authorities develop minimum stan-dards of efficiency for new automobiles; initiate a monitoring and maintenance program for public vehicles, commercial transport vehicles and taxis and limou-sines; design a public education campaign about the impacts of the excessive driving of automobiles<br />
- Residences: initiate a system of energy certification for newly constructed residences in co-operation with construction-industry associations, architect associations and universities; introduce energy efficiency as an indicator of construction quality in the academic departments of engineering and architecture; indicate maximum energy consumption guides for new homes based on regional geographies; optimise solar energy in new construction projects; incentivise reduction of energy consumption in existing residences; develop a strategy to design 'massive systems' of water heating using solar technology<br />
- Climate Change-Clean Development Mechanism (CDM): evaluate the role of<br />
CDM, including international carbon markets, in supporting energy efficiency projects; develop a plan to take advantage of international sources of financing and technological co-operation; promote the CDM in public and private entities that could have a role in identifying new energy efficiency projects",https://app.climatepolicyradar.org/documents/decree-140-2007-presidential-decree-declaring-rational-and-efficient-energy-use-a-national-priority_970c,2007-12-21T00:00:00+00:00,ARG,Decree 140/2007: Presidential decree declaring rational and efficient energy use a national priority,https://app.climatepolicyradar.org/documents/decree-140-2007-presidential-decree-declaring-rational-and-efficient-energy-use-a-national-priority_0f4f,,Decree,n/a,Executive,,CCLW,Mitigation,,Buildings;Energía;Industry;Transport;Water,Institutions / Administrative Arrangements;Energía Supply;Energía Demand;Transport,,"Standards, obligations and norms|Regulation;Capacity building|Governance;Institutional mandates|Governance;Processes, plans and strategies|Governance",Mitigation,,Buildings;Energía;Industry;Transport;Water,Institutions / Administrative Arrangements;Energía Supply;Energía Demand;Transport,,"Standards, obligations and norms|Regulation;Capacity building|Governance;Institutional mandates|Governance;Processes, plans and strategies|Governance",,
,,Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels,"The object of the law is to provide a regulatory framework for the production and promotion of biofuels. The law creates and defines the authority of a federal regulatory entity, The National Advisory Commission for the Promotion of the Production and Sustainable Use of Biofuels, delineates the chemical definitions of biodiesel and bioethanol and provides direction for the issuing of subsidies and tax reductions. The Commission also has the charge of facili-tating technology transfer, especially between small and medium sized firms who are beneficiaries of the law.<br />
<br />
Four years after enactment (by 2010) all gasoline produced and consumed in Argentina must be composed of no less than 5% biofuels.<br />
<br />
The regulations enacted and the Commission will be valid for a period of 15 years from the Date; however, the Executive Branch will have the authority to extend the law based on pre-existing tax law.",https://app.climatepolicyradar.org/documents/law-26-093-2006-regimen-of-regulation-and-promotion-of-the-production-and-sustainable-use-of-biofuels_2980,2006-05-12T00:00:00+00:00,ARG,Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels,https://app.climatepolicyradar.org/documents/law-26-093-2006-regimen-of-regulation-and-promotion-of-the-production-and-sustainable-use-of-biofuels_2e97,,Law,n/a,Legislative,,CCLW,Mitigation,,,Research And Development;Energía Supply;Energía Demand;Transport,,,Mitigation,,,Research And Development;Energía Supply;Energía Demand;Transport,,,,
,,Law 26.123 (2006) Promotion of Hydrogen Energía,"The law declares the technological development, the production of, and the use of hydrogen fuel, as well as other alternative energy sources, a matter of national interest.<br />
<br />
The executive power will determine the federal organisation responsible for developing a National Programme for Hydrogen, which will have among its objectives: develop and strengthen the technological and scientific research into alternative energy sources; incen-tivise the application of hydrogen energy technology; incentivise the participation of the private sector in the generation and production of hydrogen energy where it strengthens the national industry; promote the regional co-operation and technology transfer between MERCOSUR member-countries; develop a plan to educate the general public about the necessity to diminish contamination of the national environment and the importance of alternative energy use; incentivise the industrialisation of hydrogen fuel cells; and promote links between state entities, university research centres and private industry in the interest of a national industry of hydrogen energy.<br />
<br />
The objectives will be realised primarily through the creation of The National Fund of Hydrogen Promotion (FONHIDRO), which will depend on the national fiscal budget and which will also oversee various tax exemptions and deductions for participating firms.",https://app.climatepolicyradar.org/documents/law-26-123-2006-promotion-of-hydrogen-energy_7678,2006-08-25T00:00:00+00:00,ARG,Law 26.123 (2006) Promotion of Hydrogen Energía,https://app.climatepolicyradar.org/documents/law-26-123-2006-promotion-of-hydrogen-energy_993d,,Law,n/a,Legislative,,CCLW,Mitigation,,Energía;Industry,Institutions / Administrative Arrangements;Research And Development;Energía Supply,,,Mitigation,,Energía;Industry,Institutions / Administrative Arrangements;Research And Development;Energía Supply,,,,
,,National Decree 1070/05 (2005) Creation of the Argentine Carbon Fund,"National Decree 1070/05 has the single purpose of creating the National Argentine Carbon Fund (FAC) and to incentivise projects within the framework of The Clean Development Mechanism, as defined by Article 12 of the Kyoto Protocol. The fund is administered by the Secretary of Environment and Sustainable Development.",https://app.climatepolicyradar.org/documents/national-decree-1070-05-2005-creation-of-the-argentine-carbon-fund_26bf,2005-09-05T00:00:00+00:00,ARG,National Decree 1070/05 (2005) Creation of the Argentine Carbon Fund,https://app.climatepolicyradar.org/documents/national-decree-1070-05-2005-creation-of-the-argentine-carbon-fund_eef7,,Decree,n/a,Executive,,CCLW,Mitigation,,,Institutions / Administrative Arrangements,,Institutional mandates|Governance,Mitigation,,,Institutions / Administrative Arrangements,,Institutional mandates|Governance,,
,,Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,This law is an early precursor to 2010 legislation promoting renewable energy. It declares wind and solar power a national interest and created the Renewable Energía Fund to encourage production.,https://app.climatepolicyradar.org/documents/law-25-019-declaring-a-national-interest-to-generate-electricity-from-wind-and-solar-energy_6ff1,1998-10-19T00:00:00+00:00,ARG,Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,https://app.climatepolicyradar.org/documents/law-25-019-declaring-a-national-interest-to-generate-electricity-from-wind-and-solar-energy_923f,,Law,n/a,Legislative,,CCLW,Mitigation,,Energía,Research And Development;Energía Supply,,Provision of climate funds|Direct Investment;Capacity building|Governance,Mitigation,,Energía,Research And Development;Energía Supply,,Provision of climate funds|Direct Investment;Capacity building|Governance,,
,,Tax Reform Act nr. 27.430,"<p>In 2017, Argentina introduced the Tax Reform Act n. 27.430 which <span style=""background-color: highlight;"">reformed</span> the country's taxation system relating to energy use. The Act also introduced a Carbon Tax on fossil fuels (Article 10 of the Act), in effect since March 2018, of $10 USD per tCO2e according to OECD <a href=""https://www.oecd.org/countries/argentina/taxing-energy-use-argentina.pdf"" target=""_self"">reports</a>.  The Carbon Dioxide Tax replaces Chapter rII of Title III of Law 23.966 from 1998. According to the Act, the taxation rates will be updated each year based on variations in the Consumer Price Index (CPI) and the executive branch may  increase the taxation rates on liquid fuels by 25%,  in accordance with environmental or energy policy considerations. GhG emissions generated by industrial processes, livestock, waste disposal and land use changes are exempted from the carbon tax. Biofuels are also exempted from taxation.&nbsp;</p>
",https://app.climatepolicyradar.org/documents/tax-reform-act-nr-27-430_0bed,2017-12-29T00:00:00+00:00,ARG,Tax Reform Act No. 27.430,https://app.climatepolicyradar.org/documents/tax-reform-act-no-27-430_60ac,https://www.boletinoficial.gob.ar/detalleAviso/primera/176831/20171229,Policy,n/a,Legislative,Spanish,CCLW,Mitigation,,Energía,,,Carbon pricing & emissions trading|Economic,Mitigation,,Energía,,,Carbon pricing & emissions trading|Economic,,
,,Tax Reform Act nr. 27.430,"<p>In 2017, Argentina introduced the Tax Reform Act n. 27.430 which <span style=""background-color: highlight;"">reformed</span> the country's taxation system relating to energy use. The Act also introduced a Carbon Tax on fossil fuels (Article 10 of the Act), in effect since March 2018, of $10 USD per tCO2e according to OECD <a href=""https://www.oecd.org/countries/argentina/taxing-energy-use-argentina.pdf"" target=""_self"">reports</a>.  The Carbon Dioxide Tax replaces Chapter rII of Title III of Law 23.966 from 1998. According to the Act, the taxation rates will be updated each year based on variations in the Consumer Price Index (CPI) and the executive branch may  increase the taxation rates on liquid fuels by 25%,  in accordance with environmental or energy policy considerations. GhG emissions generated by industrial processes, livestock, waste disposal and land use changes are exempted from the carbon tax. Biofuels are also exempted from taxation.&nbsp;</p>
",https://app.climatepolicyradar.org/documents/tax-reform-act-nr-27-430_0bed,2017-12-29T00:00:00+00:00,ARG,2019 OECD Country Note on Argentina: Taxing Energía Use,https://app.climatepolicyradar.org/documents/2019-oecd-country-note-on-argentina-taxing-energy-use_c6b1,https://cdn.climatepolicyradar.org/navigator/ARG/2017/tax-reform-act-nr-27-430_8fcb32c39d0b2fa4beab9894a1c6e4c3.pdf,Act,n/a,Legislative,English,CCLW,Mitigation,,Energía,,,Carbon pricing & emissions trading|Economic,Mitigation,,Energía,,,Carbon pricing & emissions trading|Economic,,
,,National Plan for the Restoration of Native Forests (PNRBN),"<p>The PNRBN constitutes a support and guidance instrument for decision-making in national and provincial jurisdictions and forest development processes, within the framework of the National Strategy for mitigation and adaptation to Climate Change. The Plan proposes to develop a program for a first period of six years (2018-2023) in order to reach the goal of 18,000 hectares of native forest restored by 2023. The promotion of ecological restoration, recovery and restoration is defined as a general objective. rehabilitation of the native forest of Argentina with different degrees of degradation in the provision of ecosystem goods and services, which lead to the recovery and conservation of biological diversity and forest biomass, within a framework of mitigation and adaptation policies to environmental changes global current and development established. The following are established as specific objectives: a) restore the functional processes of native forests and their biodiversity; b) identify priority regions; c) promote the necessary alliances for the implementation of the national restoration strategy; d) recover the productive value of the native forest; e) promote the reduction of forest degradation factors, coordinating with Local Authorities; f) promote the reduction and compensation of GHG emissions from deforestation and degradation; g) generate environmental awareness about the importance of the native forest in the different social actors that act on them directly or indirectly; h) link restoration to socio-economic processes established for development, promoting the generation of benefits and ensuring the participation of all actors and sectors of society, cultural and multi-ethnic diversity throughout the implementation of restoration processes; i) and identify and add all existing or potential restoration initiatives in order to enhance the impacts, creating a National Native Forest Restoration Database.</p>
",https://app.climatepolicyradar.org/documents/national-plan-for-the-restoration-of-native-forests-pnrbn_3605,2018-01-01T00:00:00+00:00,ARG,National Plan for the Restoration of Native Forests (PNRBN),https://app.climatepolicyradar.org/documents/national-plan-for-the-restoration-of-native-forests-pnrbn_4f15,https://cdn.climatepolicyradar.org/navigator/ARG/2018/national-plan-for-the-restoration-of-native-forests-pnrbn_ca63b3a4de6ecb46a70a171d220d573d.pdf,Plan,n/a,Executive,Spanish,CCLW,Adaptation;Mitigation,,LULUCF,,,,Adaptation;Mitigation,,LULUCF,,,,,
