Law,Score
Law 26473 Prohibiting commercialisation of incandescent light bulbs,0.3980780839920044
Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels,0.4992486536502838
Law 26.123 (2006) Promotion of Hydrogen Energy,0.4441806972026825
Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,0.32423126697540283
Tax Reform Act nr. 27.430,0.4876636266708374
Law 27.424 instituting the regime to promote the distributed generation of renewable energy integrated into the public electricity network,0.3371013402938843
Law no 22520 on the responsibilities of ministries,0.3958132565021515
Yolanda's law (no 27592),0.5288660526275635
Law no 27.640 setting the regulatory framework for biofuels,0.33969807624816895
Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energy,0.4316805601119995
Law 27191 on Renewable Energy,0.4299881160259247
Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment,0.404521107673645
Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energy Integrated in the Public Electricity Grid,0.3971370756626129
Law 25.080 for investments in cultivated forests,0.49463173747062683
Law No. 27.287 - National System for Integral Risk Management and Civil Protection,0.38857007026672363
"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters",0.45261162519454956
"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters",0.3833332657814026
Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change,0.4345141053199768
Law No. 27209 (tax exemptions on liquid fuels and natural gas),0.5151488184928894
Law 27.592 or Yolanda's Law,0.47788935899734497
Resolution 267/2019 National plan for the restoration of native forests,0.48858073353767395
Resolution 520/2018 on Regulation of solar thermal heaters,0.36374372243881226
"Law 27,605 on the solidary and extraordinary contribution to help mitigate the effects of the pandemic, including gas sector development subsidies",0.34835052490234375
"Law 27,520 on Minimum Budget for adaptation and mitigation of climate change",0.39367884397506714
"Law 27,487 on Extension and amendment of Law Nr 25,080 related to the investments for cultivated forests",0.4144982695579529
"Law 26,562 on Minimum Environmental Protection Budgets to Control Burning Activities",0.38416802883148193
"Law 26,566 on Nuclear Activity",0.41995492577552795
