Law,Score
Law 26473 Prohibiting commercialisation of incandescent light bulbs,0.3879871368408203
Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels,0.495442658662796
Law 26.123 (2006) Promotion of Hydrogen Energía,0.3667410612106323
Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,0.2983451187610626
Tax Reform Act nr. 27.430,0.44271451234817505
Law 27.424 instituting the regime to promote the distributed generation of renewable energy integrated into the public electricity network,0.4079049229621887
Law no 22520 on the responsibilities of ministries,0.38526618480682373
Yolanda's law (no 27592),0.4786193072795868
Law no 27.640 setting the regulatory framework for biofuels,0.35568806529045105
Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energía,0.347465455532074
Law 27191 on Renewable Energía,0.3605950176715851
Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment,0.3344474136829376
Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energía Integrated in the Public Electricity Grid,0.3551397919654846
Law 25.080 for investments in cultivated forests,0.4894050359725952
Law No. 27.287 - National System for Integral Risk Management and Civil Protection,0.3941962420940399
"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters",0.4302586317062378
"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters",0.41515982151031494
Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change,0.3732704520225525
Law No. 27209 (tax exemptions on liquid fuels and natural gas),0.471163809299469
Law 27.592 or Yolanda's Law,0.38419434428215027
Resolution 267/2019 National plan for the restoration of native forests,0.39973193407058716
Resolution 520/2018 on Regulation of solar thermal heaters,0.33126991987228394
"Law 27,605 on the solidary and extraordinary contribution to help mitigate the effects of the pandemic, including gas sector development subsidies",0.362746924161911
"Law 27,520 on Minimum Budget for adaptation and mitigation of climate change",0.32652056217193604
"Law 27,487 on Extension and amendment of Law Nr 25,080 related to the investments for cultivated forests",0.43738606572151184
"Law 26,562 on Minimum Environmental Protection Budgets to Control Burning Activities",0.34681570529937744
"Law 26,566 on Nuclear Activity",0.3849743604660034
