Law,Score
Law 26473 Prohibiting commercialisation of incandescent light bulbs,0.41284531354904175
Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels,0.5500998497009277
Law 26.123 (2006) Promotion of Hydrogen Energía,0.42853862047195435
Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,0.3379490375518799
Tax Reform Act nr. 27.430,0.582669198513031
Law 27.424 instituting the regime to promote the distributed generation of renewable energy integrated into the public electricity network,0.40173423290252686
Law no 22520 on the responsibilities of ministries,0.36885273456573486
Yolanda's law (no 27592),0.5040916204452515
Law no 27.640 setting the regulatory framework for biofuels,0.358781635761261
Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energía,0.36793312430381775
Law 27191 on Renewable Energía,0.36420324444770813
Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment,0.3417787253856659
Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energía Integrated in the Public Electricity Grid,0.4109939932823181
Law 25.080 for investments in cultivated forests,0.6186180114746094
Law No. 27.287 - National System for Integral Risk Management and Civil Protection,0.3675301969051361
"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters",0.4042184352874756
"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters",0.39256495237350464
Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change,0.4392435550689697
Law No. 27209 (tax exemptions on liquid fuels and natural gas),0.5686704516410828
Law 27.592 or Yolanda's Law,0.441156268119812
Resolution 267/2019 National plan for the restoration of native forests,0.6524757146835327
Resolution 520/2018 on Regulation of solar thermal heaters,0.3979189991950989
"Law 27,605 on the solidary and extraordinary contribution to help mitigate the effects of the pandemic, including gas sector development subsidies",0.35304585099220276
"Law 27,520 on Minimum Budget for adaptation and mitigation of climate change",0.36119863390922546
"Law 27,487 on Extension and amendment of Law Nr 25,080 related to the investments for cultivated forests",0.5002902746200562
"Law 26,562 on Minimum Environmental Protection Budgets to Control Burning Activities",0.40726882219314575
"Law 26,566 on Nuclear Activity",0.5506983399391174
