Law,Score
Law 26473 Prohibiting commercialisation of incandescent light bulbs,0.4201456904411316
Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels,0.47210973501205444
Law 26.123 (2006) Promotion of Hydrogen Energy,0.336214542388916
Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,0.2586451768875122
Tax Reform Act nr. 27.430,0.4636983871459961
Law 27.424 instituting the regime to promote the distributed generation of renewable energy integrated into the public electricity network,0.32128459215164185
Law no 22520 on the responsibilities of ministries,0.36139798164367676
Yolanda's law (no 27592),0.4706910252571106
Law no 27.640 setting the regulatory framework for biofuels,0.3420788049697876
Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energy,0.3892912268638611
Law 27191 on Renewable Energy,0.3692987263202667
Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment,0.34747937321662903
Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energy Integrated in the Public Electricity Grid,0.35301855206489563
Law 25.080 for investments in cultivated forests,0.5002202987670898
Law No. 27.287 - National System for Integral Risk Management and Civil Protection,0.3416125178337097
"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters",0.3564991056919098
"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters",0.36425915360450745
Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change,0.4543175995349884
Law No. 27209 (tax exemptions on liquid fuels and natural gas),0.4801989793777466
Law 27.592 or Yolanda's Law,0.45260053873062134
Resolution 267/2019 National plan for the restoration of native forests,0.4574463963508606
Resolution 520/2018 on Regulation of solar thermal heaters,0.35581478476524353
"Law 27,605 on the solidary and extraordinary contribution to help mitigate the effects of the pandemic, including gas sector development subsidies",0.2855221629142761
"Law 27,520 on Minimum Budget for adaptation and mitigation of climate change",0.36757799983024597
"Law 27,487 on Extension and amendment of Law Nr 25,080 related to the investments for cultivated forests",0.37963399291038513
"Law 26,562 on Minimum Environmental Protection Budgets to Control Burning Activities",0.32032477855682373
"Law 26,566 on Nuclear Activity",0.32791247963905334
