Law,Score
Law 26473 Prohibiting commercialisation of incandescent light bulbs,0.39405959844589233
Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels,0.5041438341140747
Law 26.123 (2006) Promotion of Hydrogen Energía,0.4336731433868408
Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,0.3336637020111084
Tax Reform Act nr. 27.430,0.5307694673538208
Law 27.424 instituting the regime to promote the distributed generation of renewable energy integrated into the public electricity network,0.43700283765792847
Law no 22520 on the responsibilities of ministries,0.3760010600090027
Yolanda's law (no 27592),0.5174238085746765
Law no 27.640 setting the regulatory framework for biofuels,0.33640438318252563
Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energía,0.40709495544433594
Law 27191 on Renewable Energía,0.3762134611606598
Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment,0.3244965970516205
Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energía Integrated in the Public Electricity Grid,0.4108377695083618
Law 25.080 for investments in cultivated forests,0.5163241028785706
Law No. 27.287 - National System for Integral Risk Management and Civil Protection,0.3928949534893036
"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters",0.4306721091270447
"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters",0.42069393396377563
Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change,0.45727306604385376
Law No. 27209 (tax exemptions on liquid fuels and natural gas),0.5743759274482727
Law 27.592 or Yolanda's Law,0.41572105884552
Resolution 267/2019 National plan for the restoration of native forests,0.48821717500686646
Resolution 520/2018 on Regulation of solar thermal heaters,0.4239041805267334
"Law 27,605 on the solidary and extraordinary contribution to help mitigate the effects of the pandemic, including gas sector development subsidies",0.38048481941223145
"Law 27,520 on Minimum Budget for adaptation and mitigation of climate change",0.4484253227710724
"Law 27,487 on Extension and amendment of Law Nr 25,080 related to the investments for cultivated forests",0.42657071352005005
"Law 26,562 on Minimum Environmental Protection Budgets to Control Burning Activities",0.45928871631622314
"Law 26,566 on Nuclear Activity",0.49056950211524963
